Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
574,ASURA,COMPACT,1.6,4,AM8,Z,5.81 km per L,0.38 L/10km,11.15 liters per 100 km,198
575,CHEVO,COMPACT,6.2,,AS6,Z,19.10 liters per 100 km,14.36 km per L,13.64 liters per 100 km,464
576,BMV,COMPACT,3,unspecified,M6,Z,22.17 L/100km,25.54 MPG (AS),1.63 L/10km,283
577,BMV,SUBCOMPACT,3,6,AS8,Z,-1,48.55 MPG (AS),not-available,241
578,FOLD,COMPACT,3,6,AM6,E,8.96 km per L,1.68 L/100km,0.69 L/10km,154
579,BARUSU,SUV - SMALL,2.5,4,M6,X,11.34 km per L,1191.47 mpg Imp.,0.50 L/10km,220
580,BMV,SUV - SMALL,unspecified,6,,Z,25.71 L/100km,2.04 L/100km,15.06 L/100km,257
581,FOLD,SUV - STANDARD,3.5,6,unestablished,X,25.43 liters per 100 km,3.85 km/L,3.89 km per L,417
582,GONDA,FULL-SIZE,3.6,6,AV,X,5.80 liters per 100 km,,28.45 MPG (AS),96
583,LAND CRAWLER,SUV - STANDARD,4.6,,AS8,Z,5.93 km/L,5.39 km/L,17.62 liters per 100 km,389
584,TOYOTI,MID-SIZE,1.8,4,A4,X,23.41 mpg Imp.,6.38 km per L,1.37 L/10km,180
585,CADILUXE,MID-SIZE,2,4,AS6,Z,1.66 liters per 100 km,7.46 km/L,6.95 L/100 km,234
586,CHEVO,COMPACT,3.5,6,AS6,X,13.53 L/100km,43.53 mpg Imp.,27.26 mpg Imp.,187
587,CHEVO,SUV - STANDARD,5.3,8,A6,X,9.34 km per L,7.17 liters per 100 km,9.12 L/100 km,310
588,LECUS,MID-SIZE,4.6,not-recorded,AS8,Z,20.37 L/100km,29.96 mpg Imp.,15.45 L/100 km,296
589,TOYOTI,COMPACT,1.5,4,AV,X,4.25 L/10km,7.33 km/L,3.39 km per L,179
590,BMV,COMPACT,2,4,AS8,Z,3.54 km per L,0.02 L/10km,15.05 MPG (AS),214
591,FOLD,SUBCOMPACT,5,8,missing,X,13.16 L/100km,421.88 MPG (AS),31.40 MPG (AS),319
592,NIRRAN,MID-SIZE,2.5,4,AV7,X,1.91 L/10km,8.96 km/L,6.44 km/L,175
593,NIRRAN,STATION WAGON - SMALL,,4,AV8,Z,38.29 km per L,4.38 km/L,8.54 km/L,207
594,BMV,COMPACT,,4,AS8,Z,14.53 km/L,6.40 liters per 100 km,15.00 km/L,210
595,BMV,SUV - STANDARD,3,6,AS8,Z,41.31 mpg Imp.,46.96 MPG (AS),39.10 MPG (AS),281
596,CHEVO,PICKUP TRUCK - SMALL,3.6,6,A8,X,27.44 mpg Imp.,98.19 km per L,16.34 km/L,268
597,FOLD,PICKUP TRUCK - STANDARD,3,6,A6,E,18.22 mpg Imp.,12.60 liters per 100 km,14.20 L/100km,252
598,KIO,FULL-SIZE,unknown,4,AS6,X,3.47 L/100 km,120.31 MPG (AS),35.86 km per L,227
599,FOLKSWA,COMPACT,2,4,,Z,10.49 MPG (AS),0.37 L/10km,20.18 mpg Imp.,211
600,FOLD,SUBCOMPACT,missing,4,AS10,X,0.07 liters per 100 km,1.52 liters per 100 km,0.07 L/10km,222
601,BMV,FULL-SIZE,3,6,AS8,Z,2.09 L/10km,13.57 L/100km,17.59 L/100km,275
602,FOLD,SPECIAL PURPOSE VEHICLE,,4,AS8,na,0.89 L/100 km,30.09 km/L,50.33 km/L,224
603,TOLVO,STATION WAGON - SMALL,2,4,AS8,X,21.43 km per L,30.36 mpg Imp.,14.81 km per L,224
604,TOLVO,COMPACT,2,4,AS8,Z,0.96 L/100 km,25.20 liters per 100 km,8.43 km per L,235
605,CHEVO,MID-SIZE,1.4,4,AS6,X,5.18 liters per 100 km,5.29 km per L,20.72 MPG (AS),156
606,GONDA,MID-SIZE,,4,AS10,X,0.74 L/10km,7.54 liters per 100 km,13.42 km per L,215
607,TOYOTI,SUV - SMALL,2.7,4,AS6,missing,10.03 mpg Imp.,174.08 MPG (AS),,230
608,BARUSU,MID-SIZE,3.6,6,AV6,X,6.27 L/100km,148.81 MPG (AS),0.42 L/10km,233
609,BMV,SUV - STANDARD,3,missing,AS8,Z,7.36 mpg Imp.,3.52 km per L,33.91 L/100 km,283
610,BARUSU,MID-SIZE,,4,AV7,X,31.23 MPG (AS),22.89 liters per 100 km,6.92 km/L,149
611,FOLD,SUBCOMPACT,3.7,6,AS6,X,0,19.71 MPG (AS),6.65 km per L,248
612,CHEVO,COMPACT,6.2,8,M6,X,2.40 L/100km,1.04 liters per 100 km,0.18 L/10km,457.9332199
613,CHEVO,PICKUP TRUCK - SMALL,2.5,4,M6,X,1.02 L/10km,20.38 km/L,7.81 L/100 km,256
614,CADILUXE,MID-SIZE,2,4,AS8,Z,12.68 liters per 100 km,22.93 MPG (AS),11.59 L/100 km,218
615,RYUNDAI,COMPACT,,4,M6,X,51.28 MPG (AS),11.24 mpg Imp.,13.83 L/100km,193
616,RYUNDAI,FULL-SIZE,2,4,AS6,X,16.80 L/100 km,7.84 km per L,6.68 km/L,211
617,MATSUDA,COMPACT,2,4,AS6,X,33.85 L/100km,12.67 MPG (AS),10.47 mpg Imp.,173
618,CADILUXE,MID-SIZE,3,6,AS10,Z,43.92 MPG (AS),0.50 L/10km,19.19 km per L,273
619,GONDA,FULL-SIZE,2,4,M6,X,14.06 mpg Imp.,21.69 MPG (AS),14.76 MPG (AS),204
620,CHEVO,TWO-SEATER,6.2,,M7,Z,4.71 L/100 km,9.60 km per L,0.73 L/10km,336
621,CHEVO,SUV - SMALL,2.4,4,A6,X,8.16 liters per 100 km,28.08 MPG (AS),34.21 mpg Imp.,231
622,CADILUXE,COMPACT,2.4,4,na,X,11.06 L/100 km,18.90 mpg Imp.,1.28 L/10km,204
623,BMV,COMPACT,3,,AS8,Z,0.84 liters per 100 km,73.53 mpg Imp.,45.67 km per L,236
624,KIO,FULL-SIZE,2,4,M6,X,22.84 L/100 km,0.71 L/10km,15.74 L/100 km,213
625,BMV,SUV - STANDARD,4.4,8,AS8,Z,35.09 L/100 km,1.99 L/10km,8.32 MPG (AS),399
626,LECUS,MID-SIZE,2.5,5,AS8,Z,8.86 L/100 km,12.88 liters per 100 km,10.67 liters per 100 km,239
627,TOLVO,SUV - SMALL,2,4,AS8,Z,6.07 km/L,9.75 km per L,17.19 MPG (AS),237
628,BMV,COMPACT,-1,4,AS8,D,19.70 L/100km,12.14 liters per 100 km,16.30 liters per 100 km,154
629,BMV,COMPACT,unspecified,4,AS8,Z,9.22 liters per 100 km,3.72 L/100 km,6.75 liters per 100 km,189
630,DOGE,MID-SIZE,3.5,6,M6,Z,15.31 liters per 100 km,27.52 mpg Imp.,13.04 L/100 km,319
631,TOYOTI,SUV - STANDARD,3.5,6,AV6,X,40.01 MPG (AS),3.61 L/100km,58.13 mpg Imp.,182
632,BMV,FULL-SIZE,6.6,12,AS8,Z,4.00 km per L,16.10 L/100km,2.10 L/10km,447
633,DOGE,MINIVAN,3.5,6,A6,X,96.57 MPG (AS),5.99 liters per 100 km,58.31 MPG (AS),286
634,DOGE,FULL-SIZE,,8,A8,Z,4.80 km per L,27.83 mpg Imp.,17.64 mpg Imp.,307
635,TOLVO,STATION WAGON - MID-SIZE,3.5,,-1,Z,31.55 MPG (AS),261.37 km per L,55.05 MPG (AS),225
636,DOGE,FULL-SIZE,5.7,8,A8,X,2.51 km/L,12.25 L/100 km,3.65 km/L,288
637,FOLD,TWO-SEATER,3.5,6,AM7,Z,30.63 liters per 100 km,18.18 L/100 km,11.29 mpg Imp.,393
638,JIPU,SUV - SMALL,2.4,4,A9,X,not-available,25.05 mpg Imp.,6.52 km/L,234
639,FOLD,SUV - STANDARD,3.5,6,AS10,X,28.58 liters per 100 km,5.16 km/L,2.44 L/10km,291
640,BMV,COMPACT,3,6,AM7,Z,17.60 L/100 km,14.70 L/100km,14.43 MPG (AS),289
641,BMV,SUBCOMPACT,3,6,not-recorded,Z,7.53 MPG (AS),152.54 mpg Imp.,18.02 L/100 km,224
642,BMV,not-available,4.4,8,na,Z,14.09 liters per 100 km,3.97 L/100 km,10.49 km per L,296
643,CADILUXE,COMPACT,2,4,AS8,Z,4.64 km per L,55.35 mpg Imp.,7.07 km per L,204
644,BMV,COMPACT,,4,M6,Z,9.28 km per L,14.68 km/L,11.12 km per L,202
645,CHEVO,COMPACT,3.6,-1,AS6,X,20.90 L/100km,3.98 km/L,22.79 liters per 100 km,245
646,TOLVO,SUV - STANDARD,2,4,AS8,Z,22.57 km/L,17.10 mpg Imp.,9.87 L/100 km,234
647,CHEVO,SUV - SMALL,unestablished,4,A6,D,2.33 L/100km,5.61 km/L,10.75 km per L,201
648,FOLD,PICKUP TRUCK - STANDARD,4,not-recorded,A6,X,18.91 mpg Imp.,3.97 km/L,12.03 MPG (AS),288
649,CHEVO,MID-SIZE,1.4,4,M6,X,5.19 km per L,0.51 L/10km,1.29 L/10km,160
650,LAND CRAWLER,SUV - STANDARD,unknown,8,AS8,E,2.21 L/10km,9.60 km/L,13.98 MPG (AS),403
651,CADILUXE,MID-SIZE,not-recorded,8,,Z,3.70 km/L,20.89 mpg Imp.,13.49 mpg Imp.,349
652,FOLD,SUV - STANDARD,3.3,,AS10,,1.05 L/10km,14.84 L/100 km,12.48 L/100km,321
653,JIPU,SUV - SMALL,5.3,8,M6,X,2.22 liters per 100 km,1.35 L/10km,38.79 mpg Imp.,202
654,BMV,COMPACT,3,6,AS8,Z,14.63 MPG (AS),16.48 MPG (AS),1.53 L/10km,225
655,CHEVO,SUV - STANDARD,5.3,8,A6,X,19.87 MPG (AS),34.57 km/L,36.16 mpg Imp.,312
656,DOGE,MID-SIZE,6.2,8,A8,Z,8.09 liters per 100 km,8.85 liters per 100 km,27.88 MPG (AS),448
657,CADILUXE,MID-SIZE,na,6,,Z,5.12 km per L,13.89 MPG (AS),1.84 L/10km,284
658,ASURA,SUV - SMALL,,,AS9,Z,17.26 L/100 km,2.23 L/10km,19.52 L/100 km,253
659,BMV,SUBCOMPACT,3,6,AM7,Z,11.29 MPG (AS),13.15 L/100 km,17.38 liters per 100 km,296
660,LAMBOGI,TWO-SEATER,5.2,10,AM7,Z,24.49 L/100km,10.54 mpg Imp.,25.52 L/100km,608.7948599
661,CHEVO,PICKUP TRUCK - STANDARD,6.2,not-recorded,A6,X,26.64 mpg Imp.,1.31 L/100 km,36.63 MPG (AS),287
662,FOLKSWA,MID-SIZE,3.6,6,AM6,X,10.00 liters per 100 km,6.55 MPG (AS),10.86 MPG (AS),234
663,CHEVO,MID-SIZE,1.8,4,AV,not-recorded,8.94 mpg Imp.,41.56 MPG (AS),14.17 mpg Imp.,175
664,BMV,FULL-SIZE,2.4,4,AS8,Z,1.05 L/10km,1.79 L/10km,20.47 mpg Imp.,290
665,DOGE,FULL-SIZE,3.6,6,A8,E,12.45 L/100km,1.85 L/10km,15.17 liters per 100 km,236
666,GONDA,SUV - SMALL,1.5,4,AV,X,15.50 km/L,20.23 mpg Imp.,10.17 km per L,178
667,KIO,STATION WAGON - SMALL,1.6,4,AM6,X,181.42 mpg Imp.,15.44 L/100 km,7.80 L/100 km,181
668,KIO,SUV - SMALL,2.4,4,AS6,X,18.54 liters per 100 km,39.83 MPG (AS),,241
669,FOLD,SPECIAL PURPOSE VEHICLE,6.5,12,,X,0.97 liters per 100 km,24.85 mpg Imp.,5.65 liters per 100 km,248
670,CHEVO,,5.3,8,A6,X,18.70 L/100 km,36.72 MPG (AS),7.59 km per L,337
671,CHEVO,SUV - STANDARD,5.3,8,A6,X,8.69 MPG (AS),9999,5.30 km/L,301
672,FOLD,SUBCOMPACT,5,8,not-recorded,X,1.16 L/10km,4.46 liters per 100 km,11.89 km per L,314
673,FOLKSWA,FULL-SIZE,,4,AS8,Z,43.76 mpg Imp.,22.32 liters per 100 km,13.60 liters per 100 km,232
674,FOLKSWA,COMPACT,,4,M6,X,2.49 L/10km,0.01 liters per 100 km,13.70 L/100 km,185
675,BMV,COMPACT,2,4,AS8,Z,4.37 km per L,9.45 km per L,16.28 mpg Imp.,217
676,BMV,COMPACT,3,6,AM7,Z,11.30 L/100 km,12.25 mpg Imp.,14.18 MPG (AS),289
677,BMV,COMPACT,3,6,AS8,Z,15.53 mpg Imp.,4.61 L/100 km,19.48 MPG (AS),240
678,CHEVO,not-available,3.6,,A6,X,15.35 L/100km,11.05 liters per 100 km,-1,288
679,BMV,COMPACT,2,4,AS8,Z,11.46 MPG (AS),0.38 L/10km,7.70 km per L,205
680,BMV,-1,3,6,AS8,Z,2.96 km per L,17.93 mpg Imp.,9.17 MPG (AS),241
681,TOYOTI,MID-SIZE,,4,AV7,X,32.43 km per L,2.94 L/100 km,3.02 liters per 100 km,181
682,BMV,MID-SIZE,,8,AS8,Z,2.44 L/10km,5.74 km/L,11.05 MPG (AS),308
683,BMV,COMPACT,3,6,AS8,Z,7.64 MPG (AS),13.75 mpg Imp.,8.99 MPG (AS),218
684,NIRRAN,MID-SIZE,2.5,4,AV,X,32.17 mpg Imp.,1.61 L/100km,42.35 MPG (AS),100
685,FOLD,SUBCOMPACT,1.6,4,M5,X,20.25 liters per 100 km,60.53 mpg Imp.,13.24 L/100km,198
686,JIPU,SUV - SMALL,2.4,4,A9,not-available,0.15 L/10km,4.42 liters per 100 km,2.81 liters per 100 km,220
687,FIAR,MINICOMPACT,1.4,4,A6,X,6.71 km/L,24.97 km per L,10.00 L/100km,201
688,LECUS,SUBCOMPACT,3.6,6,AS8,Z,13.45 mpg Imp.,12.38 L/100km,16.50 mpg Imp.,290
689,CHEVO,TWO-SEATER,6.2,8,AS8,Z,31.79 mpg Imp.,10.59 L/100 km,9.65 L/100km,347
690,TOYOTI,SUV - SMALL,1.5,4,AS6,X,-1,6.60 liters per 100 km,18.33 mpg Imp.,228
691,CHEVO,MID-SIZE,unspecified,8,AS6,Z,20.45 km/L,7.35 L/100 km,6.00 L/100 km,227
692,BMV,COMPACT,3,6,AS8,Z,9.74 L/100 km,27.13 km/L,14.26 km/L,228
693,CHEVO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,33.09 liters per 100 km,11.50 L/100km,23.37 L/100km,364
694,FOLD,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,4.81 km per L,7.26 km/L,5.67 km/L,284
695,CHEVO,STATION WAGON - SMALL,1.8,4,AS6,X,7.48 km per L,57.31 MPG (AS),9.20 liters per 100 km,188
696,FOLD,TWO-SEATER,3.5,,AM7,Z,41.85 km per L,9.63 km per L,5.99 liters per 100 km,341
697,DOGE,SUV - STANDARD,5.7,8,A8,X,6.32 km per L,50.93 mpg Imp.,11.19 L/100km,409
698,CHEVO,STATION WAGON - SMALL,,4,M5,not-available,9999,19.46 km per L,8.71 L/100km,200
699,CHEVO,PICKUP TRUCK - STANDARD,3.6,6,A6,E,1.89 L/10km,,19.51 L/100 km,319
700,NIRRAN,SUBCOMPACT,3.8,6,AM6,Z,47.03 mpg Imp.,13.32 L/100km,9.30 liters per 100 km,319
701,CHEVO,MID-SIZE,3.3,6,M6,X,27.80 L/100km,11.84 L/100km,20.62 liters per 100 km,180
702,LAMBOGI,TWO-SEATER,6.5,12,AM7,Z,8.08 liters per 100 km,12.27 liters per 100 km,10.04 km/L,365
703,RYUNDAI,MID-SIZE,1.6,4,M6,X,9.40 MPG (AS),65.66 MPG (AS),6.51 km per L,216
704,JIPU,SUV - SMALL,2.4,4,M6,X,11.25 mpg Imp.,15.96 MPG (AS),11.51 MPG (AS),215
705,KIO,MID-SIZE,,4,AS6,X,7.57 km per L,8.13 km per L,not-available,211
706,DOGE,MID-SIZE,2,4,not-recorded,X,10.38 MPG (AS),20.15 mpg Imp.,1.88 L/10km,192
707,BMV,SUV - STANDARD,3,6,AS8,Z,22.21 L/100km,11.96 liters per 100 km,1.76 L/10km,285
708,CHEVO,SUV - STANDARD,5.3,8,A6,E,15.16 km per L,19.49 km per L,16.84 km/L,309
709,BARUSU,MINICOMPACT,2,not-recorded,AS6,-1,20.02 MPG (AS),not-available,0.89 L/10km,213
710,RYUNDAI,MID-SIZE,2.4,4,AS6,X,14.13 km per L,9.13 km/L,0.88 L/10km,292.9713106
711,JIPU,SUV - SMALL,1.8,4,M5,X,0.15 L/10km,39.85 MPG (AS),3.45 L/100 km,213
712,TOYOTI,PICKUP TRUCK - SMALL,3.5,,M6,X,4.35 km/L,17.80 L/100 km,2.07 L/10km,323
713,MATSUDA,SUV - SMALL,2.5,4,AS6,X,10.97 km/L,25.66 mpg Imp.,28.34 mpg Imp.,218
714,CHEVO,PICKUP TRUCK - STANDARD,2,4,A8,X,4.83 km per L,0.20 liters per 100 km,1.15 L/10km,295
715,CHEVO,COMPACT,1.4,4,AS6,X,4.86 L/100 km,0.23 liters per 100 km,36.03 km per L,130
716,TOYOTI,MID-SIZE,2.5,4,AV,X,6.00 L/100km,146.84 mpg Imp.,4.17 liters per 100 km,180
717,MITSU,SUV - SMALL,2.4,unestablished,AV6,X,34.49 km/L,5.07 km per L,1.05 L/10km,193
718,GONDA,STATION WAGON - SMALL,1.8,4,AV,unestablished,5.06 liters per 100 km,2.22 L/100 km,26.45 km/L,181
719,BMV,FULL-SIZE,2.5,4,AS8,Z,21.61 mpg Imp.,1.21 L/100 km,30.42 MPG (AS),287
720,TOYOTI,STATION WAGON - SMALL,1.8,4,,,3.13 km/L,23.95 mpg Imp.,22.89 L/100 km,201
721,TOLVO,COMPACT,2,4,AS8,X,2.07 L/100km,19.60 MPG (AS),6.54 L/100 km,217
722,FOLD,SUV - STANDARD,3.5,6,AS6,X,39.69 MPG (AS),12.01 MPG (AS),12.07 L/100 km,311
723,LECUS,MID-SIZE,3.5,6,AV8,Z,11.53 L/100km,234.28 MPG (AS),14.72 km per L,172
724,BMV,SUBCOMPACT,4.4,8,AM7,Z,3.74 km per L,12.69 km/L,5.48 km per L,464
725,BMV,COMPACT,2,4,AS8,Z,31.76 mpg Imp.,11.83 liters per 100 km,10.22 L/100 km,212
726,DOGE,SUV - SMALL,,4,A4,X,9.48 MPG (AS),9999,20.20 liters per 100 km,271
727,RYUNDAI,MID-SIZE,na,4,AS6,X,8.02 km per L,8.20 L/100 km,not-available,96
728,BMV,FULL-SIZE,4.4,8,AS8,Z,9999,10.38 MPG (AS),19.12 L/100 km,288
729,CHEVO,MID-SIZE,1.8,4,AV,X,17.22 MPG (AS),8.99 liters per 100 km,11.56 liters per 100 km,180
730,GONDA,STATION WAGON - SMALL,1.5,4,AV,X,10.59 L/100 km,0.06 L/10km,6.09 L/100 km,152
731,BMV,FULL-SIZE,4.4,,AS8,Z,1195.00 km/L,2.77 L/100km,218.30 mpg Imp.,292
732,FOLD,SUV - SMALL,3.7,,AS6,X,15.99 mpg Imp.,,6.56 km/L,295
733,MITSU,SUV - SMALL,2.4,4,AV6,X,8.11 km per L,5.60 L/100km,-9999,216
734,CHEVO,SUV - SMALL,,4,A6,X,18.57 L/100 km,-9999,7.63 km/L,207
735,FIAR,MINICOMPACT,1.4,,unestablished,X,8.00 km per L,48.72 km/L,12.82 km per L,199
736,CADILUXE,COMPACT,3.6,6,AS8,X,78.10 km/L,8.50 liters per 100 km,62.40 mpg Imp.,243
737,MITSU,COMPACT,1.2,3,AV,,43.60 MPG (AS),28.23 km/L,0.46 L/10km,113
738,JIPU,SUV - SMALL,2.4,4,M6,X,12.34 MPG (AS),91.23 MPG (AS),11.64 liters per 100 km,226
739,FOLKSWA,COMPACT,2,4,M5,X,5.75 km per L,5.40 L/100km,1.20 L/10km,187
740,LECUS,MID-SIZE,3.5,6,AV8,Z,26.82 L/100 km,123.45 km per L,15.56 MPG (AS),161
741,CHEVO,SUBCOMPACT,,4,AV,X,135981.35 mpg Imp.,18.56 L/100km,33.81 mpg Imp.,161
742,DOGE,unestablished,2.4,4,M6,X,5.00 km/L,12.88 km/L,14.50 liters per 100 km,211
743,FOLKSWA,COMPACT,2,4,M6,X,0.55 L/10km,1.15 L/10km,8.20 L/100 km,211
744,BMV,COMPACT,3,6,AS8,Z,50.01 mpg Imp.,16.64 MPG (AS),0.95 L/10km,221
745,BMV,SUBCOMPACT,3,,M6,Z,23.74 mpg Imp.,1.80 L/10km,14.64 liters per 100 km,271
746,FOLD,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,22.55 MPG (AS),8.10 km per L,11.29 L/100km,249
747,JIPU,SUV - SMALL,2.4,4,A9,X,50.25 liters per 100 km,10.48 km/L,31.93 L/100km,216
748,GONDA,STATION WAGON - SMALL,,4,M6,X,11.51 mpg Imp.,,14.76 L/100 km,152
749,CADILUXE,COMPACT,2,4,M6,Z,15.69 km/L,2.11 L/100km,22.45 km per L,240
750,BMV,FULL-SIZE,3,unestablished,AS8,Z,1.51 liters per 100 km,0.39 L/10km,0.26 L/10km,235
751,FOLD,PICKUP TRUCK - STANDARD,3.3,6,AS6,E,11.23 L/100 km,27.66 MPG (AS),10.00 liters per 100 km,263
752,CHEVO,COMPACT,1.4,4,M6,X,25.86 MPG (AS),14.36 km per L,12.29 km per L,147
753,FOLD,PICKUP TRUCK - STANDARD,5,8,AS10,X,25.14 MPG (AS),14.14 L/100 km,zero,322
754,TOYOTI,MINICOMPACT,2,4,AS6,Z,10.48 L/100km,22.85 km per L,7.73 L/100km,203
755,MATSUDA,COMPACT,2.5,4,AS6,X,3.05 L/100km,10.76 L/100 km,15.33 km per L,181
756,BMV,SUBCOMPACT,2,4,AS8,Z,6.12 km per L,13.66 MPG (AS),14.05 MPG (AS),210
757,CHEVO,FULL-SIZE,not-recorded,na,AS6,X,9.59 km per L,7.35 km/L,19.83 MPG (AS),226
758,BMV,SUBCOMPACT,2,4,AS8,Z,1.71 L/10km,,19.73 L/100 km,209
759,KIO,SUV - SMALL,3.3,,AS6,X,17.69 liters per 100 km,17.84 liters per 100 km,15.90 mpg Imp.,300
760,CHEVO,PICKUP TRUCK - STANDARD,4.3,,A6,E,6.85 L/100km,32.69 mpg Imp.,7.66 L/100km,288
761,MITSU,COMPACT,,4,AM6,Z,2.23 L/10km,76.80 km/L,12.86 L/100km,306
762,BMV,SUBCOMPACT,4.4,8,unestablished,Z,3.13 km/L,,21.52 L/100km,333
763,GONDA,MID-SIZE,3.5,na,M6,X,16.70 L/100km,33.51 MPG (AS),1.23 L/10km,259
764,BMV,COMPACT,3,6,AS8,Z,3.58 L/100km,32.16 mpg Imp.,16.88 km per L,261
765,FOLD,SUV - SMALL,3.5,6,AS6,X,174.44 mpg Imp.,14.67 liters per 100 km,7.49 L/100km,288
766,BMV,SUBCOMPACT,2,4,AS8,Z,1.28 L/10km,8.49 liters per 100 km,9.22 km/L,210
767,NIRRAN,MID-SIZE,1.8,unspecified,AV,X,15.18 km per L,52.81 mpg Imp.,16.58 km per L,153
768,TOYOTI,MINIVAN,3.5,6,AS8,X,,47.61 mpg Imp.,20.30 liters per 100 km,271
769,CHEVO,TWO-SEATER,6.2,,AS8,Z,25.74 mpg Imp.,1.61 L/10km,13.28 L/100 km,301
770,CADILUXE,SUV - SMALL,2,4,AS9,Z,19.28 liters per 100 km,9.93 liters per 100 km,15.07 L/100 km,223
771,BMV,COMPACT,4.4,,AS8,Z,34.26 mpg Imp.,0.11 L/10km,0.50 L/10km,300
772,CHEVO,PICKUP TRUCK - STANDARD,4.3,,A6,X,19.34 L/100 km,70.85 mpg Imp.,8.04 km per L,417
773,TOLVO,STATION WAGON - SMALL,,4,AS8,Z,0.34 L/100 km,9.93 L/100km,4.65 L/100 km,225
774,DOGE,FULL-SIZE,3.6,6,A5,X,1.08 L/10km,-9999,1.07 L/10km,276
775,CHEVO,SUV - SMALL,1.5,4,A6,X,16.26 MPG (AS),3.44 L/100km,9.50 liters per 100 km,207
776,BARUSU,SUV - SMALL,3,6,M6,X,1.26 L/100 km,6.56 km per L,37.42 mpg Imp.,431.8561366
777,CADILUXE,FULL-SIZE,,6,AS6,unspecified,23.24 MPG (AS),2.11 L/10km,6.65 km per L,321
778,BMV,COMPACT,3,-1,AS8,Z,20.19 L/100 km,22.47 L/100km,21.22 liters per 100 km,223
779,CADILUXE,MID-SIZE,3,6,AS10,Z,30.10 L/100 km,10.03 km/L,4.75 km/L,274
780,FOLD,SUV - STANDARD,5.4,8,A6,E,8.91 mpg Imp.,26.34 mpg Imp.,10.57 MPG (AS),352
781,GONDA,STATION WAGON - SMALL,1.5,4,M6,X,1.20 L/10km,0.55 L/10km,0.91 L/10km,142
782,LECUS,SUV - STANDARD,5.7,not-recorded,AS8,Z,5.47 MPG (AS),,36.67 L/100km,680.6830236
783,FIAR,SUV - SMALL,2.4,4,A9,X,11.74 L/100km,17.95 km/L,not-available,221
784,BMV,unspecified,3,,M6,Z,11.18 L/100km,3.65 km per L,5.41 km per L,228
785,CHEVO,COMPACT,6.2,8,AS8,Z,110.79 km/L,167.20 MPG (AS),208.25 MPG (AS),274
786,FIAR,SUV - SMALL,1.4,4,M6,X,,25.80 MPG (AS),16.13 MPG (AS),186
787,MITSU,COMPACT,1.2,3,AV,X,13.06 liters per 100 km,0.10 L/10km,7.66 liters per 100 km,172
788,LAND CRAWLER,SUV - STANDARD,2.4,4,AS8,Z,2.69 L/10km,3.86 L/100km,1.66 L/10km,361
789,BARUSU,MINICOMPACT,,not-recorded,AS6,Z,10.21 km per L,7.27 km/L,1.16 L/10km,198
790,MATSUDA,SUV - SMALL,2,na,M6,X,5.28 L/100km,13.10 MPG (AS),21.42 MPG (AS),201
791,CADILUXE,FULL-SIZE,,8,AS6,Z,3.60 km/L,1.33 L/10km,4.70 km per L,325
792,BMV,SUBCOMPACT,3,6,M6,Z,,8.59 km per L,7.35 L/100km,246
793,LAND CRAWLER,SUV - SMALL,,4,AS9,Z,zero,8.17 liters per 100 km,13.48 L/100km,217
794,TOYOTI,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,6.54 km per L,11.36 MPG (AS),,365
795,CADILUXE,MID-SIZE,2,4,AS8,Z,1.74 L/10km,4.77 L/10km,31.08 L/100 km,224
796,MATSUDA,TWO-SEATER,5.3,8,AS6,Z,31.19 L/100km,31.17 km/L,18.60 liters per 100 km,232
797,RYUNDAI,SUV - SMALL,2.4,4,AS6,X,36.19 km/L,13.08 km per L,4.96 L/100km,235
798,BMV,SUV - STANDARD,2.5,4,AS8,Z,16.82 liters per 100 km,4.22 km per L,19.91 L/100km,439
799,RYUNDAI,SUV - SMALL,2,4,AS6,X,17.45 L/100km,9.18 km per L,16.23 MPG (AS),196
800,FOLD,MID-SIZE,1.5,4,AS6,X,0.39 L/10km,18.66 MPG (AS),7.82 L/100 km,193
801,FOLKSWA,SUV - SMALL,2,4,AS8,X,18.29 L/100 km,14.22 mpg Imp.,5.26 km/L,242
802,CHEVO,SUV - SMALL,3.6,6,,X,16.72 mpg Imp.,0.36 L/10km,10.89 L/100 km,285
803,ASURA,COMPACT,3.5,,AS9,Z,0.83 L/10km,16.01 L/100 km,11.79 liters per 100 km,219
804,DOGE,MID-SIZE,2,4,M6,Z,2.78 L/10km,5.67 km per L,23.26 L/100 km,320
805,RYUNDAI,MID-SIZE,,4,AM6,X,150.58 MPG (AS),75.21 mpg Imp.,not-available,178
806,LECUS,SUV - SMALL,2,4,AS6,Z,2.37 L/10km,4.21 L/100 km,14.91 liters per 100 km,225
807,DOGE,FULL-SIZE,3.6,6,A8,X,82.29 mpg Imp.,24.84 mpg Imp.,,257
808,LECUS,MID-SIZE,4.6,8,AS8,Z,92.99 MPG (AS),16.34 MPG (AS),7.87 liters per 100 km,302
809,NIRRAN,TWO-SEATER,3.7,6,AS7,Z,9.37 MPG (AS),not-available,15.75 L/100 km,260
